City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Zaysan,KZ,47.4667,84.8667,70.09,46,75,4.54,broken clouds
110,Saint George,US,37.1041,-113.5841,107.64,7,0,17.27,clear sky
111,Narasaraopet,IN,16.25,80.0667,89.65,51,96,8.97,overcast clouds
112,Bertoua,CM,4.5833,13.6833,67.28,96,49,2.26,light rain
113,Saint Anthony,US,45.0205,-93.218,78.85,58,75,10.36,broken clouds
114,Mandalgovi,MN,45.7625,106.2708,51.49,73,100,23.26,overcast clouds
115,Manavalakurichi,IN,8.1333,77.3,78.91,83,98,11.79,overcast clouds
116,Trapani,IT,37.8333,12.6667,71.69,83,75,9.22,broken clouds
117,Hoshcha,UA,50.6003,26.6744,58.82,97,74,7.4,broken clouds
118,Emerald,AU,-23.5333,148.1667,51.35,69,100,14.36,overcast clouds
119,Yaan,NG,7.3833,8.5667,74.07,94,69,7.65,broken clouds
120,Concordia,AR,-31.393,-58.0209,45.79,76,0,4.65,clear sky
121,Warrnambool,AU,-38.3833,142.4833,50.81,76,100,18.03,overcast clouds
122,Omboue,GA,-1.5746,9.2618,75.16,90,7,3.0,clear sky
123,Marevo,RU,57.3146,32.0804,55.94,95,8,2.68,clear sky
124,Padang,ID,-0.9492,100.3543,69.85,92,100,2.89,moderate rain
125,New Norfolk,AU,-42.7826,147.0587,40.71,85,87,7.74,overcast clouds
126,Kandalaksha,RU,67.162,32.4123,50.74,76,100,4.9,overcast clouds
127,Georgetown,MY,5.4112,100.3354,76.95,93,40,2.3,scattered clouds
128,Kavieng,PG,-2.5744,150.7967,84.47,66,3,14.0,clear sky
129,Velingara,SN,13.15,-14.1167,84.09,60,88,7.14,overcast clouds
130,Ancud,CL,-41.8697,-73.8203,49.23,88,100,7.61,overcast clouds
131,Arraial Do Cabo,BR,-22.9661,-42.0278,67.28,78,100,11.3,overcast clouds
132,San Patricio,US,28.017,-97.5169,101.12,51,2,19.46,clear sky
